"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"10.07.2025","2.732,45","2.724,64","2.735,15","2.705,98","53,61B","1,34%"
"09.07.2025","2.696,45","2.733,01","2.735,07","2.684,87","64,57B","-2,15%"
"08.07.2025","2.755,58","2.748,19","2.764,75","2.738,75","50,79B","-0,02%"
"07.07.2025","2.756,14","2.786,06","2.788,67","2.753,69","46,53B","-1,62%"
"04.07.2025","2.801,65","2.808,30","2.821,15","2.788,90","45,86B","-0,77%"
"03.07.2025","2.823,34","2.821,21","2.840,13","2.812,07","77,72B","0,29%"
"02.07.2025","2.815,26","2.838,45","2.840,66","2.810,00","63,64B","-1,16%"
"01.07.2025","2.848,44","2.854,04","2.858,55","2.837,12","69,43B","0,04%"
"30.06.2025","2.847,38","2.818,98","2.847,38","2.806,49","66,48B","1,47%"
"27.06.2025","2.806,11","2.790,67","2.814,29","2.778,57","45,80B","0,32%"
"26.06.2025","2.797,27","2.794,00","2.803,45","2.780,49","38,33B","0,23%"
"25.06.2025","2.790,78","2.762,61","2.790,78","2.759,92","48,30B","1,67%"
"24.06.2025","2.744,95","2.726,43","2.747,90","2.715,79","47,52B","-0,53%"
"23.06.2025","2.759,67","2.753,60","2.768,93","2.736,41","45,78B","0,31%"
"20.06.2025","2.751,04","2.776,11","2.781,08","2.748,57","51,54B","-1,18%"
"19.06.2025","2.783,81","2.793,74","2.800,14","2.761,76","57,80B","-0,29%"
"18.06.2025","2.791,83","2.799,02","2.807,34","2.779,68","46,74B","0,10%"
"17.06.2025","2.788,94","2.737,85","2.791,03","2.730,27","49,56B","1,87%"
"16.06.2025","2.737,83","2.758,97","2.767,51","2.731,24","48,52B","-0,45%"
"13.06.2025","2.750,32","2.732,21","2.762,76","2.732,20","30,85B","0,63%"
"11.06.2025","2.733,20","2.719,60","2.742,45","2.718,98","41,46B","0,40%"
"10.06.2025","2.722,37","2.762,46","2.767,14","2.702,29","55,51B","-0,56%"
"09.06.2025","2.737,76","2.767,94","2.778,40","2.733,75","51,60B","-1,74%"
"06.06.2025","2.786,16","2.856,63","2.910,52","2.784,00","154,53B","-2,47%"
"05.06.2025","2.856,61","2.853,20","2.858,23","2.837,61","40,45B","0,70%"
"04.06.2025","2.836,64","2.854,36","2.871,78","2.825,52","80,57B","0,09%"
"03.06.2025","2.834,06","2.817,23","2.835,39","2.807,63","60,95B","0,16%"
"02.06.2025","2.829,67","2.795,02","2.830,55","2.770,04","65,73B","0,03%"
"30.05.2025","2.828,83","2.814,06","2.837,85","2.793,15","55,21B","0,67%"
"29.05.2025","2.809,94","2.811,66","2.839,97","2.800,93","45,01B","0,89%"
"28.05.2025","2.785,20","2.754,00","2.799,50","2.747,96","71,68B","1,77%"
"27.05.2025","2.736,75","2.718,11","2.740,05","2.705,78","51,81B","1,37%"
"26.05.2025","2.699,84","2.735,78","2.738,27","2.699,84","48,16B","-2,54%"
"23.05.2025","2.770,10","2.779,56","2.790,29","2.762,67","40,90B","-0,79%"
"22.05.2025","2.792,16","2.784,81","2.809,47","2.756,04","79,28B","-0,62%"
"21.05.2025","2.809,58","2.833,08","2.844,04","2.806,38","47,38B","-0,49%"
"20.05.2025","2.823,42","2.859,26","2.862,00","2.823,42","39,77B","-2,05%"
"19.05.2025","2.882,63","2.879,77","2.893,56","2.862,60","39,33B","1,49%"
"16.05.2025","2.840,34","2.848,05","2.876,67","2.781,00","93,56B","0,01%"
"15.05.2025","2.840,05","2.875,03","2.877,46","2.823,19","69,59B","-2,88%"
"14.05.2025","2.924,21","2.917,17","2.946,37","2.909,54","40,66B","-0,39%"
"13.05.2025","2.935,53","2.941,74","2.941,93","2.911,05","44,27B","0,18%"
"12.05.2025","2.930,17","2.936,83","2.947,07","2.904,77","59,83B","2,78%"
"08.05.2025","2.850,93","2.864,76","2.873,66","2.834,59","39,77B","0,63%"
"07.05.2025","2.833,09","2.807,12","2.845,14","2.790,14","58,93B","0,46%"
"06.05.2025","2.820,07","2.740,17","2.826,61","2.738,50","70,34B","2,97%"
"05.05.2025","2.738,80","2.810,36","2.821,54","2.731,74","69,99B","-3,45%"
"02.05.2025","2.836,70","2.872,87","2.877,83","2.835,04","35,55B","-2,80%"
"30.04.2025","2.918,47","2.923,86","2.954,21","2.887,83","83,17B","-1,33%"
"29.04.2025","2.957,66","2.994,64","2.998,68","2.955,18","67,94B","-2,53%"
"28.04.2025","3.034,30","3.009,92","3.053,15","2.979,14","142,38B","0,94%"
"25.04.2025","3.006,14","2.962,11","3.009,48","2.956,80","101,00B","2,10%"
"24.04.2025","2.944,43","2.961,81","2.973,99","2.934,79","56,24B","0,04%"
"23.04.2025","2.943,23","2.929,78","2.946,43","2.900,32","74,90B","-0,38%"
"22.04.2025","2.954,49","2.945,13","2.954,49","2.914,37","71,09B","1,10%"
"21.04.2025","2.922,46","2.881,23","2.929,91","2.880,01","67,85B","1,73%"
"18.04.2025","2.872,77","2.881,79","2.892,01","2.825,41","72,36B","0,26%"
"17.04.2025","2.865,32","2.863,20","2.884,76","2.844,33","63,29B","0,12%"
"16.04.2025","2.861,83","2.801,01","2.870,39","2.790,70","62,51B","2,01%"
"15.04.2025","2.805,55","2.824,64","2.836,00","2.788,26","52,95B","-0,50%"
"14.04.2025","2.819,69","2.848,99","2.856,63","2.806,95","56,67B","-0,36%"
"11.04.2025","2.829,92","2.825,03","2.839,28","2.800,69","77,17B","2,37%"
"10.04.2025","2.764,28","2.790,31","2.801,19","2.742,48","90,69B","4,29%"
"09.04.2025","2.650,69","2.689,77","2.707,15","2.598,85","123,80B","-3,49%"
"08.04.2025","2.746,41","2.775,78","2.780,46","2.727,98","74,15B","0,61%"
"07.04.2025","2.729,89","2.648,09","2.791,28","2.646,70","165,63B","-1,87%"
"04.04.2025","2.781,97","2.886,61","2.902,62","2.778,43","130,18B","-2,71%"
"03.04.2025","2.859,58","2.957,64","2.972,49","2.853,76","91,41B","-2,28%"
